Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,682  790    0    0,1.0
2.0,7.0,Undirected,1,329  389    0    0,1.0
3.0,6.0,Undirected,2,462  573    0    0,1.0
4.0,6.0,Undirected,3,373  557    0  165,1.0
5.0,8.0,Undirected,4,342  490    0    0,1.0
6.0,8.0,Undirected,5,399  551    0   70,1.0
7.0,14.0,Undirected,6,271  315    0    0,1.0
8.0,13.0,Undirected,7,313  385    0    0,1.0
8.0,15.0,Undirected,8,271  356    0    0,1.0
9.0,11.0,Undirected,9,369  432    0    0,1.0
10.0,11.0,Undirected,10,295  351    0    0,1.0
11.0,13.0,Undirected,11,304  350    0    0,1.0
11.0,42.0,Undirected,12,315  356    0    0,1.0
12.0,17.0,Undirected,13,171  212    0    0,1.0
12.0,25.0,Undirected,14,380  449    0    0,1.0
12.0,28.0,Undirected,15,209  237    0    0,1.0
12.0,30.0,Undirected,16,240  291    0    0,1.0
12.0,42.0,Undirected,17,305  370    0    0,1.0
13.0,16.0,Undirected,18,225  269    0    0,1.0
13.0,42.0,Undirected,19,260  324    0    0,1.0
14.0,15.0,Undirected,20,360  419    0    0,1.0
14.0,16.0,Undirected,21,303  364    0    0,1.0
14.0,17.0,Undirected,22,310  372    0    0,1.0
14.0,31.0,Undirected,23,412  483    0    0,1.0
15.0,17.0,Undirected,24,177  233    0    0,1.0
16.0,17.0,Undirected,25,194  251    0    0,1.0
17.0,18.0,Undirected,26,129  178    0    0,1.0
17.0,30.0,Undirected,27,113  145    0    0,1.0
18.0,19.0,Undirected,28,337  392    0    0,1.0
18.0,31.0,Undirected,29,177  211    0    0,1.0
19.0,20.0,Undirected,30,345  413    0    0,1.0
19.0,21.0,Undirected,31,381  457    0    0,1.0
19.0,32.0,Undirected,32,189  240    0    0,1.0
20.0,21.0,Undirected,33,335  402    0    0,1.0
20.0,30.0,Undirected,34,174  230    0    0,1.0
21.0,22.0,Undirected,35,470  540    0    0,1.0
22.0,23.0,Undirected,36,465  532    0    0,1.0
24.0,25.0,Undirected,37,305  359    0    0,1.0
24.0,26.0,Undirected,38,424  605    3  123,1.0
24.0,30.0,Undirected,39,148  247    0    0,1.0
25.0,27.0,Undirected,40,324  387    0    0,1.0
27.0,29.0,Undirected,41,291  348    0    0,1.0
31.0,32.0,Undirected,42,313  371    0    0,1.0
31.0,33.0,Undirected,43,249  299    0    0,1.0
32.0,34.0,Undirected,44,265  315    0    0,1.0
32.0,37.0,Undirected,45,236  299    0    0,1.0
33.0,37.0,Undirected,46,289  358    0    0,1.0
34.0,35.0,Undirected,47,331  370    0    0,1.0
34.0,36.0,Undirected,48,432  490    0    0,1.0
37.0,38.0,Undirected,49,338  411    0    0,1.0
37.0,39.0,Undirected,50,413  476    0    0,1.0
38.0,40.0,Undirected,51,313  368    0    0,1.0
38.0,41.0,Undirected,52,331  400    0    0,1.0
