Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,2034  6252     0   251,1.0
2.0,7.0,Undirected,1,2016  5845     0   192,1.0
3.0,6.0,Undirected,2,2893  7731     1   287,1.0
4.0,6.0,Undirected,3,2403  5798     0   226,1.0
5.0,8.0,Undirected,4,2314  5819     0   160,1.0
6.0,8.0,Undirected,5,2078  5555     5    71,1.0
7.0,14.0,Undirected,6,1224  3704     5    69,1.0
8.0,13.0,Undirected,7,1619  4950     7    78,1.0
8.0,15.0,Undirected,8,1324  3636    13    50,1.0
9.0,11.0,Undirected,9,1373  5047     2    91,1.0
10.0,11.0,Undirected,10,1339  5488     0   299,1.0
11.0,13.0,Undirected,11,1129  4356    18    70,1.0
11.0,42.0,Undirected,12,844  3549     8   163,1.0
12.0,17.0,Undirected,13,851  3598     7   124,1.0
12.0,25.0,Undirected,14,975  4250     3   101,1.0
12.0,28.0,Undirected,15,1228  5288    20   183,1.0
12.0,30.0,Undirected,16,988  4747     9    73,1.0
12.0,42.0,Undirected,17,1160  4514     8    53,1.0
13.0,16.0,Undirected,18,1002  3443     2    34,1.0
13.0,42.0,Undirected,19,1360  5093    10    74,1.0
14.0,15.0,Undirected,20,992  3457     8    61,1.0
14.0,16.0,Undirected,21,841  2808     9    64,1.0
14.0,17.0,Undirected,22,832  3571    12    97,1.0
14.0,31.0,Undirected,23,985  4020     9    91,1.0
15.0,17.0,Undirected,24,884  2914     8    42,1.0
16.0,17.0,Undirected,25,969  3939     7    78,1.0
17.0,18.0,Undirected,26,835  2936     4    24,1.0
17.0,30.0,Undirected,27,815  3977    21   179,1.0
18.0,19.0,Undirected,28,1006  4070     8    93,1.0
18.0,31.0,Undirected,29,975  3776    13    82,1.0
19.0,20.0,Undirected,30,1057  4797    20   208,1.0
19.0,21.0,Undirected,31,1002  4142     6   204,1.0
19.0,32.0,Undirected,32,1043  4198     2    62,1.0
20.0,21.0,Undirected,33,829  3827    16   145,1.0
20.0,30.0,Undirected,34,983  4475     8   116,1.0
21.0,22.0,Undirected,35,1146  5088    12    97,1.0
22.0,23.0,Undirected,36,1307  5876    18   237,1.0
24.0,25.0,Undirected,37,1142  5661    30   328,1.0
24.0,26.0,Undirected,38,1183  5297     8    66,1.0
24.0,30.0,Undirected,39,909  4248     9    99,1.0
25.0,27.0,Undirected,40,1185  5053    24   200,1.0
27.0,29.0,Undirected,41,1356  5706     5   260,1.0
31.0,32.0,Undirected,42,800  3420     3   100,1.0
31.0,33.0,Undirected,43,1117  4460    15    87,1.0
32.0,34.0,Undirected,44,1312  5427    10   113,1.0
32.0,37.0,Undirected,45,1241  4469     4   117,1.0
33.0,37.0,Undirected,46,1291  5069    19   200,1.0
34.0,35.0,Undirected,47,1252  5612    32   317,1.0
34.0,36.0,Undirected,48,1127  5286    19   288,1.0
37.0,38.0,Undirected,49,1520  5253    12   132,1.0
37.0,39.0,Undirected,50,2060  6352    26   279,1.0
38.0,40.0,Undirected,51,1954  6758    15   331,1.0
38.0,41.0,Undirected,52,1559  5390    25   249,1.0
