Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,309  392    0    0,1.0
2.0,7.0,Undirected,1,344  436    0    0,1.0
3.0,6.0,Undirected,2,518  576    0    0,1.0
4.0,6.0,Undirected,3,460  503    0    0,1.0
5.0,8.0,Undirected,4,367  494    0  125,1.0
6.0,8.0,Undirected,5,225  270    0    0,1.0
7.0,14.0,Undirected,6,245  303    0    0,1.0
8.0,13.0,Undirected,7,379  418    0    0,1.0
8.0,15.0,Undirected,8,244  316    0    0,1.0
9.0,11.0,Undirected,9,358  423    0    0,1.0
10.0,11.0,Undirected,10,426  509    0    0,1.0
11.0,13.0,Undirected,11,175  209    0    0,1.0
11.0,42.0,Undirected,12,249  316    0    0,1.0
12.0,17.0,Undirected,13,279  324    0    0,1.0
12.0,25.0,Undirected,14,161  190    0    0,1.0
12.0,28.0,Undirected,15,303  362    0    0,1.0
12.0,30.0,Undirected,16,142  177    0    0,1.0
12.0,42.0,Undirected,17,215  264    0    0,1.0
13.0,16.0,Undirected,18,138  166    0    0,1.0
13.0,42.0,Undirected,19,107  134    0    0,1.0
14.0,15.0,Undirected,20,208  272    0    0,1.0
14.0,16.0,Undirected,21,109  152    0    0,1.0
14.0,17.0,Undirected,22,212  279    0    0,1.0
14.0,31.0,Undirected,23,212  296    0    0,1.0
15.0,17.0,Undirected,24,228  287    0    0,1.0
16.0,17.0,Undirected,25,173  199    0    0,1.0
17.0,18.0,Undirected,26,308  391    0    0,1.0
17.0,30.0,Undirected,27,248  278    0    0,1.0
18.0,19.0,Undirected,28,213  334    0    0,1.0
18.0,31.0,Undirected,29,349  458    0    0,1.0
19.0,20.0,Undirected,30,145  305    2  124,1.0
19.0,21.0,Undirected,31,319  466    0    0,1.0
19.0,32.0,Undirected,32,180  222    0    0,1.0
20.0,21.0,Undirected,33,412  619    0    0,1.0
20.0,30.0,Undirected,34,293  367    0    0,1.0
21.0,22.0,Undirected,35,314  589    0    0,1.0
22.0,23.0,Undirected,36,220  462    1  217,1.0
24.0,25.0,Undirected,37,253  297    0    0,1.0
24.0,26.0,Undirected,38,526  599    0    0,1.0
24.0,30.0,Undirected,39,259  322    0    0,1.0
25.0,27.0,Undirected,40,126  154    0    0,1.0
27.0,29.0,Undirected,41,218  257    0    0,1.0
31.0,32.0,Undirected,42,233  316    0    0,1.0
31.0,33.0,Undirected,43,256  389    0    0,1.0
32.0,34.0,Undirected,44,229  380    0    0,1.0
32.0,37.0,Undirected,45,347  450    0    0,1.0
33.0,37.0,Undirected,46,303  423    0    0,1.0
34.0,35.0,Undirected,47,75  476    7  469,1.0
34.0,36.0,Undirected,48,184  476    0    0,1.0
37.0,38.0,Undirected,49,448  633    0    0,1.0
37.0,39.0,Undirected,50,402  726   10  296,1.0
38.0,40.0,Undirected,51,492  702    0    0,1.0
38.0,41.0,Undirected,52,522  650    0    0,1.0
