Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,1  79   0   0,1.0
2.0,7.0,Undirected,1,0  54   0   0,1.0
3.0,6.0,Undirected,2,0  63   0   1,1.0
4.0,6.0,Undirected,3,3  62   0   0,1.0
5.0,8.0,Undirected,4,1  76   0   0,1.0
6.0,8.0,Undirected,5,0  164    0    1,1.0
7.0,14.0,Undirected,6,3  209    0    0,1.0
8.0,13.0,Undirected,7,0  92   0   9,1.0
8.0,15.0,Undirected,8,0  182    0    2,1.0
9.0,11.0,Undirected,9,0  70   0   0,1.0
10.0,11.0,Undirected,10,0  49   0   0,1.0
11.0,13.0,Undirected,11,0  114    0    0,1.0
11.0,42.0,Undirected,12,0  68   0   0,1.0
12.0,17.0,Undirected,13,3  173    0    0,1.0
12.0,25.0,Undirected,14,1  154    0    0,1.0
12.0,28.0,Undirected,15,4  69   0   0,1.0
12.0,30.0,Undirected,16,0  81   0   0,1.0
12.0,42.0,Undirected,17,7  116    0    0,1.0
13.0,16.0,Undirected,18,10  130    0    0,1.0
13.0,42.0,Undirected,19,1  61   0   0,1.0
14.0,15.0,Undirected,20,3  102    0    0,1.0
14.0,16.0,Undirected,21,2  105    0    4,1.0
14.0,17.0,Undirected,22,1  104    0    0,1.0
14.0,31.0,Undirected,23,1  235    0    0,1.0
15.0,17.0,Undirected,24,1  105    0    2,1.0
16.0,17.0,Undirected,25,2  62   0   2,1.0
17.0,18.0,Undirected,26,2  103    0    0,1.0
17.0,30.0,Undirected,27,1  94   0   0,1.0
18.0,19.0,Undirected,28,0  81   0   0,1.0
18.0,31.0,Undirected,29,2  80   0   0,1.0
19.0,20.0,Undirected,30,4  123    0    0,1.0
19.0,21.0,Undirected,31,5  83   0   0,1.0
19.0,32.0,Undirected,32,2  156    0    0,1.0
20.0,21.0,Undirected,33,5  52   0   0,1.0
20.0,30.0,Undirected,34,2  187    0    0,1.0
21.0,22.0,Undirected,35,0  67   0   0,1.0
22.0,23.0,Undirected,36,1  42   0   0,1.0
24.0,25.0,Undirected,37,0  54   0   0,1.0
24.0,26.0,Undirected,38,0  38   0   0,1.0
24.0,30.0,Undirected,39,1  100    0    0,1.0
25.0,27.0,Undirected,40,3  76   0   0,1.0
27.0,29.0,Undirected,41,0  36   0   0,1.0
31.0,32.0,Undirected,42,4  144    0    0,1.0
31.0,33.0,Undirected,43,2  103    0    0,1.0
32.0,34.0,Undirected,44,0  112    0    0,1.0
32.0,37.0,Undirected,45,3  118    0    0,1.0
33.0,37.0,Undirected,46,0  51   0   0,1.0
34.0,35.0,Undirected,47,0  43   0   0,1.0
34.0,36.0,Undirected,48,0  41   0   0,1.0
37.0,38.0,Undirected,49,7  112    0    0,1.0
37.0,39.0,Undirected,50,4  36   0   0,1.0
38.0,40.0,Undirected,51,1  30   0   0,1.0
38.0,41.0,Undirected,52,0  38   0   0,1.0
