Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,218  277    0    0,1.0
2.0,7.0,Undirected,1,395  476    0    0,1.0
3.0,6.0,Undirected,2,480  531    0    0,1.0
4.0,6.0,Undirected,3,325  380    0    0,1.0
5.0,8.0,Undirected,4,172  210    0    0,1.0
6.0,8.0,Undirected,5,217  257    0    0,1.0
7.0,14.0,Undirected,6,331  398    0    0,1.0
8.0,13.0,Undirected,7,296  344    0    0,1.0
8.0,15.0,Undirected,8,197  229    0    0,1.0
9.0,11.0,Undirected,9,455  531    0    0,1.0
10.0,11.0,Undirected,10,536  612    0    0,1.0
11.0,13.0,Undirected,11,382  445    0    0,1.0
11.0,42.0,Undirected,12,283  348    0    0,1.0
12.0,17.0,Undirected,13,252  314    0    0,1.0
12.0,25.0,Undirected,14,246  310    0    0,1.0
12.0,28.0,Undirected,15,280  347    0    0,1.0
12.0,30.0,Undirected,16,308  405    0    0,1.0
12.0,42.0,Undirected,17,345  402    0    0,1.0
13.0,16.0,Undirected,18,263  318    0    0,1.0
13.0,42.0,Undirected,19,264  309    0    0,1.0
14.0,15.0,Undirected,20,282  335    0    0,1.0
14.0,16.0,Undirected,21,270  347    0    0,1.0
14.0,17.0,Undirected,22,232  293    0    0,1.0
14.0,31.0,Undirected,23,296  378    0    0,1.0
15.0,17.0,Undirected,24,185  235    0    0,1.0
16.0,17.0,Undirected,25,166  207    0    0,1.0
17.0,18.0,Undirected,26,345  432    0    0,1.0
17.0,30.0,Undirected,27,176  232    0    0,1.0
18.0,19.0,Undirected,28,300  435    0    0,1.0
18.0,31.0,Undirected,29,284  385    0    0,1.0
19.0,20.0,Undirected,30,267  426    0    0,1.0
19.0,21.0,Undirected,31,322  465    0    0,1.0
19.0,32.0,Undirected,32,346  438    0    0,1.0
20.0,21.0,Undirected,33,285  497    4  232,1.0
20.0,30.0,Undirected,34,186  291    0    0,1.0
21.0,22.0,Undirected,35,205  338    0    0,1.0
22.0,23.0,Undirected,36,384  497    0    0,1.0
24.0,25.0,Undirected,37,285  356    0    0,1.0
24.0,26.0,Undirected,38,360  412    0    0,1.0
24.0,30.0,Undirected,39,302  366    0    0,1.0
25.0,27.0,Undirected,40,329  392    0    0,1.0
27.0,29.0,Undirected,41,262  320    0    0,1.0
31.0,32.0,Undirected,42,238  345    0    0,1.0
31.0,33.0,Undirected,43,465  541    0    0,1.0
32.0,34.0,Undirected,44,254  290    0    0,1.0
32.0,37.0,Undirected,45,219  265    0    0,1.0
33.0,37.0,Undirected,46,467  541    0    0,1.0
34.0,35.0,Undirected,47,272  297    0    0,1.0
34.0,36.0,Undirected,48,332  382    0    0,1.0
37.0,38.0,Undirected,49,389  461    0    0,1.0
37.0,39.0,Undirected,50,397  466    0    0,1.0
38.0,40.0,Undirected,51,311  381    0    0,1.0
38.0,41.0,Undirected,52,421  505    0    0,1.0
