Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,4746  5142     0     0,1.0
2.0,7.0,Undirected,1,4235  4646     0     0,1.0
3.0,6.0,Undirected,2,5401  5806     0     0,1.0
4.0,6.0,Undirected,3,5384  5757     0     0,1.0
5.0,8.0,Undirected,4,4323  4825     0     0,1.0
6.0,8.0,Undirected,5,4592  4942     0     0,1.0
7.0,14.0,Undirected,6,4340  4785     0     0,1.0
8.0,13.0,Undirected,7,3279  3900     0     0,1.0
8.0,15.0,Undirected,8,3585  3878     0     0,1.0
9.0,11.0,Undirected,9,4539  5051     0     0,1.0
10.0,11.0,Undirected,10,3780  4355     0     0,1.0
11.0,13.0,Undirected,11,3310  4445     6  1078,1.0
11.0,42.0,Undirected,12,4653  5146     0     0,1.0
12.0,17.0,Undirected,13,3729  4225     0     0,1.0
12.0,25.0,Undirected,14,3592  3989     0     0,1.0
12.0,28.0,Undirected,15,3718  4041     0     0,1.0
12.0,30.0,Undirected,16,3146  3936     9   629,1.0
12.0,42.0,Undirected,17,3832  4266     0     0,1.0
13.0,16.0,Undirected,18,2692  3026     0     0,1.0
13.0,42.0,Undirected,19,3340  3619     0     0,1.0
14.0,15.0,Undirected,20,2586  2838     0     0,1.0
14.0,16.0,Undirected,21,2824  3061     0     0,1.0
14.0,17.0,Undirected,22,3664  4055     0     0,1.0
14.0,31.0,Undirected,23,2717  3627     8   827,1.0
15.0,17.0,Undirected,24,2858  3199     0     0,1.0
16.0,17.0,Undirected,25,3577  4050     0     0,1.0
17.0,18.0,Undirected,26,3422  3888     0     0,1.0
17.0,30.0,Undirected,27,3256  3515     0     0,1.0
18.0,19.0,Undirected,28,3793  4060     0     0,1.0
18.0,31.0,Undirected,29,3152  3544     0     0,1.0
19.0,20.0,Undirected,30,3927  4321     0     0,1.0
19.0,21.0,Undirected,31,4397  4727     0     0,1.0
19.0,32.0,Undirected,32,4431  4809     0     0,1.0
20.0,21.0,Undirected,33,4889  5208     0     0,1.0
20.0,30.0,Undirected,34,3272  3713     0     0,1.0
21.0,22.0,Undirected,35,5844  6221     0     0,1.0
22.0,23.0,Undirected,36,5711  6067     0     0,1.0
24.0,25.0,Undirected,37,4644  5005     0     0,1.0
24.0,26.0,Undirected,38,3599  3857     0     0,1.0
24.0,30.0,Undirected,39,4484  4891     0     0,1.0
25.0,27.0,Undirected,40,6077  6522     0     0,1.0
27.0,29.0,Undirected,41,6396  6805     0     0,1.0
31.0,32.0,Undirected,42,3535  4153     0     0,1.0
31.0,33.0,Undirected,43,3783  4197     0     0,1.0
32.0,34.0,Undirected,44,4523  5133     0     0,1.0
32.0,37.0,Undirected,45,4511  5053     0     0,1.0
33.0,37.0,Undirected,46,5303  5814     0     0,1.0
34.0,35.0,Undirected,47,6434  7050     0     0,1.0
34.0,36.0,Undirected,48,5249  5635     0     0,1.0
37.0,38.0,Undirected,49,5635  6072     0     0,1.0
37.0,39.0,Undirected,50,5396  5779     0     0,1.0
38.0,40.0,Undirected,51,6123  6451     0     0,1.0
38.0,41.0,Undirected,52,6551  6910     0     0,1.0
