Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,1,17,20067,7
2.0,7.0,Undirected,2,4,20469,7
3.0,6.0,Undirected,3,2,18699,6
4.0,6.0,Undirected,4,3,16034,6
5.0,8.0,Undirected,5,9,21538,8
6.0,8.0,Undirected,6,2  3,48163,8
7.0,14.0,Undirected,7,4  17,58159,14
8.0,13.0,Undirected,8,2  9,29076,13
8.0,15.0,Undirected,9,3  8,58585,15
9.0,11.0,Undirected,10,5  13,23527,11
10.0,11.0,Undirected,11,7,18869,11
11.0,13.0,Undirected,12,6   7  13,35772,13
11.0,42.0,Undirected,13,5,22116,42
12.0,17.0,Undirected,14,4  15,49617,17
12.0,25.0,Undirected,15,11  15,51039,25
12.0,28.0,Undirected,16,2  4,27665,28
12.0,30.0,Undirected,17,5  8  9,31672,30
12.0,42.0,Undirected,18,2   5   8   9  11,47118,42
13.0,16.0,Undirected,19,6   7  11  13,40857,16
13.0,42.0,Undirected,20,2   8   9  11,19969,42
14.0,15.0,Undirected,21,14  17,37351,15
14.0,16.0,Undirected,22,11  13,39015,16
14.0,17.0,Undirected,23,4,34421,17
14.0,31.0,Undirected,24,11  14,82449,31
15.0,17.0,Undirected,25,3  10,35918,17
16.0,17.0,Undirected,26,6  7,17688,17
17.0,18.0,Undirected,27,6   7  10  15,37320,18
17.0,30.0,Undirected,28,3,41303,30
18.0,19.0,Undirected,29,6  10,24159,19
18.0,31.0,Undirected,30,7  15,28911,31
19.0,20.0,Undirected,31,9,31995,20
19.0,21.0,Undirected,32,6,26545,21
19.0,32.0,Undirected,33,9  10,48961,32
20.0,21.0,Undirected,34,5,27289,21
20.0,30.0,Undirected,35,5  9,63042,30
21.0,22.0,Undirected,36,5  6,36447,22
22.0,23.0,Undirected,37,6,18563,23
24.0,25.0,Undirected,38,15,18561,25
24.0,26.0,Undirected,39,3   8  15,19249,26
24.0,30.0,Undirected,40,3  8,38893,30
25.0,27.0,Undirected,41,11,32893,27
27.0,29.0,Undirected,42,11,17727,29
31.0,32.0,Undirected,43,7  14,57363,32
31.0,33.0,Undirected,44,11  15,40563,33
32.0,34.0,Undirected,45,7  9,55926,34
32.0,37.0,Undirected,46,10  14,52677,37
33.0,37.0,Undirected,47,11,29841,37
34.0,35.0,Undirected,48,7,19735,35
34.0,36.0,Undirected,49,9,19549,36
37.0,38.0,Undirected,50,10  14,48673,38
37.0,39.0,Undirected,51,11,22044,39
38.0,40.0,Undirected,52,14,18815,40
38.0,41.0,Undirected,53,10,17103,41
