Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,1,17,622,7
2.0,7.0,Undirected,2,4,292,7
3.0,6.0,Undirected,3,2,43,6
4.0,6.0,Undirected,4,3,168,6
5.0,8.0,Undirected,5,9,203,8
6.0,8.0,Undirected,6,2  3,397,8
7.0,14.0,Undirected,7,4  17,1218,14
8.0,13.0,Undirected,8,2  9,235,13
8.0,15.0,Undirected,9,3  8,708,15
9.0,11.0,Undirected,10,5  13,260,11
10.0,11.0,Undirected,11,7,178,11
11.0,13.0,Undirected,12,6   7  13,590,13
11.0,42.0,Undirected,13,5,371,42
12.0,17.0,Undirected,14,4  15,1053,17
12.0,25.0,Undirected,15,11  15,845,25
12.0,28.0,Undirected,16,2  4,613,28
12.0,30.0,Undirected,17,5  8  9,610,30
12.0,42.0,Undirected,18,2   5   8   9  11,772,42
13.0,16.0,Undirected,19,6   7  11  13,595,16
13.0,42.0,Undirected,20,2   8   9  11,103,42
14.0,15.0,Undirected,21,14  17,486,15
14.0,16.0,Undirected,22,11  13,759,16
14.0,17.0,Undirected,23,4,1278,17
14.0,31.0,Undirected,24,11  14,1296,31
15.0,17.0,Undirected,25,3  10,432,17
16.0,17.0,Undirected,26,6  7,435,17
17.0,18.0,Undirected,27,6   7  10  15,801,18
17.0,30.0,Undirected,28,3,946,30
18.0,19.0,Undirected,29,6  10,775,19
18.0,31.0,Undirected,30,7  15,374,31
19.0,20.0,Undirected,31,9,614,20
19.0,21.0,Undirected,32,6,490,21
19.0,32.0,Undirected,33,9  10,778,32
20.0,21.0,Undirected,34,5,430,21
20.0,30.0,Undirected,35,5  9,1172,30
21.0,22.0,Undirected,36,5  6,598,22
22.0,23.0,Undirected,37,6,313,23
24.0,25.0,Undirected,38,15,441,25
24.0,26.0,Undirected,39,3   8  15,250,26
24.0,30.0,Undirected,40,3  8,491,30
25.0,27.0,Undirected,41,11,692,27
27.0,29.0,Undirected,42,11,233,29
31.0,32.0,Undirected,43,7  14,1048,32
31.0,33.0,Undirected,44,11  15,837,33
32.0,34.0,Undirected,45,7  9,946,34
32.0,37.0,Undirected,46,10  14,1070,37
33.0,37.0,Undirected,47,11,213,37
34.0,35.0,Undirected,48,7,172,35
34.0,36.0,Undirected,49,9,444,36
37.0,38.0,Undirected,50,10  14,692,38
37.0,39.0,Undirected,51,11,334,39
38.0,40.0,Undirected,52,14,77,40
38.0,41.0,Undirected,53,10,207,41
