Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,3598  4027     0     0,1.0
2.0,7.0,Undirected,1,4499  4945     0     0,1.0
3.0,6.0,Undirected,2,2197  5396    23  3593,1.0
4.0,6.0,Undirected,3,2966  5343     0     0,1.0
5.0,8.0,Undirected,4,4017  5310     0  1207,1.0
6.0,8.0,Undirected,5,3263  4860     0     0,1.0
7.0,14.0,Undirected,6,3615  4127     0     0,1.0
8.0,13.0,Undirected,7,2601  3431     0     0,1.0
8.0,15.0,Undirected,8,2975  3728     0     0,1.0
9.0,11.0,Undirected,9,5382  5766     0     0,1.0
10.0,11.0,Undirected,10,6060  6434     0     0,1.0
11.0,13.0,Undirected,11,3961  4386     0     0,1.0
11.0,42.0,Undirected,12,3867  4166     0     0,1.0
12.0,17.0,Undirected,13,3229  3541     0     0,1.0
12.0,25.0,Undirected,14,3872  4216     0     0,1.0
12.0,28.0,Undirected,15,3761  3969     0     0,1.0
12.0,30.0,Undirected,16,3223  3501     0     0,1.0
12.0,42.0,Undirected,17,3304  3594     0     0,1.0
13.0,16.0,Undirected,18,2701  3123     0     0,1.0
13.0,42.0,Undirected,19,3374  3800     0     0,1.0
14.0,15.0,Undirected,20,2277  3312    10   891,1.0
14.0,16.0,Undirected,21,3228  3812     0     0,1.0
14.0,17.0,Undirected,22,3142  3619     0     0,1.0
14.0,31.0,Undirected,23,3629  4282     0     0,1.0
15.0,17.0,Undirected,24,3218  4116     0     0,1.0
16.0,17.0,Undirected,25,3269  3609     0     0,1.0
17.0,18.0,Undirected,26,3988  4596     0     0,1.0
17.0,30.0,Undirected,27,3566  3862     0     0,1.0
18.0,19.0,Undirected,28,3031  3356     0     0,1.0
18.0,31.0,Undirected,29,3311  3907     0     0,1.0
19.0,20.0,Undirected,30,3312  3809     0     0,1.0
19.0,21.0,Undirected,31,3813  4158     0     0,1.0
19.0,32.0,Undirected,32,3538  4149     0     0,1.0
20.0,21.0,Undirected,33,2925  3135     0     0,1.0
20.0,30.0,Undirected,34,3251  3560     0     0,1.0
21.0,22.0,Undirected,35,4792  5133     0     0,1.0
22.0,23.0,Undirected,36,6275  6649     0     0,1.0
24.0,25.0,Undirected,37,4117  4474     0     0,1.0
24.0,26.0,Undirected,38,4336  4580     0     0,1.0
24.0,30.0,Undirected,39,3423  3710     0     0,1.0
25.0,27.0,Undirected,40,7087  7518     0     0,1.0
27.0,29.0,Undirected,41,8140  8533     0     0,1.0
31.0,32.0,Undirected,42,2642  3902    14  1207,1.0
31.0,33.0,Undirected,43,5129  5792     0     0,1.0
32.0,34.0,Undirected,44,4464  4958     0     0,1.0
32.0,37.0,Undirected,45,4930  5474     0     0,1.0
33.0,37.0,Undirected,46,5036  5671     0     0,1.0
34.0,35.0,Undirected,47,7489  8016     0     0,1.0
34.0,36.0,Undirected,48,6122  6687     0     0,1.0
37.0,38.0,Undirected,49,4647  5092     0     0,1.0
37.0,39.0,Undirected,50,5782  6302     0     0,1.0
38.0,40.0,Undirected,51,5908  6425     0     0,1.0
38.0,41.0,Undirected,52,5698  6128     0     0,1.0
