Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,251  258    0    0,1.0
2.0,7.0,Undirected,1,939  953    0    0,1.0
3.0,6.0,Undirected,2,660  674    0    0,1.0
4.0,6.0,Undirected,3,633  643    0    0,1.0
5.0,8.0,Undirected,4,586  595    0    0,1.0
6.0,8.0,Undirected,5,1584  1614     0     0,1.0
7.0,14.0,Undirected,6,1928  1960     0     0,1.0
8.0,13.0,Undirected,7,699  708    0    0,1.0
8.0,15.0,Undirected,8,1853  1889     0     0,1.0
9.0,11.0,Undirected,9,776  788    0    0,1.0
10.0,11.0,Undirected,10,890  907    0    0,1.0
11.0,13.0,Undirected,11,992  1009     0     0,1.0
11.0,42.0,Undirected,12,1239  1256     0     0,1.0
12.0,17.0,Undirected,13,1156  1181     0     0,1.0
12.0,25.0,Undirected,14,1375  1400     0     0,1.0
12.0,28.0,Undirected,15,736  743    0    0,1.0
12.0,30.0,Undirected,16,724  741    0    0,1.0
12.0,42.0,Undirected,17,1003  1022     0     0,1.0
13.0,16.0,Undirected,18,948  968    0    0,1.0
13.0,42.0,Undirected,19,276  279    0    0,1.0
14.0,15.0,Undirected,20,912  928    0    0,1.0
14.0,16.0,Undirected,21,791  809    0    0,1.0
14.0,17.0,Undirected,22,1442  1460     0     0,1.0
14.0,31.0,Undirected,23,2341  2389     0     0,1.0
15.0,17.0,Undirected,24,969  989    0    0,1.0
16.0,17.0,Undirected,25,308  313    0    0,1.0
17.0,18.0,Undirected,26,1033  1050     0     0,1.0
17.0,30.0,Undirected,27,1277  1295     0     0,1.0
18.0,19.0,Undirected,28,736  744    0    0,1.0
18.0,31.0,Undirected,29,417  425    0    0,1.0
19.0,20.0,Undirected,30,623  638    0    0,1.0
19.0,21.0,Undirected,31,491  497    0    0,1.0
19.0,32.0,Undirected,32,1255  1279     0     0,1.0
20.0,21.0,Undirected,33,724  735    0    0,1.0
20.0,30.0,Undirected,34,1627  1662     0     0,1.0
21.0,22.0,Undirected,35,634  646    0    0,1.0
22.0,23.0,Undirected,36,409  412    0    0,1.0
24.0,25.0,Undirected,37,742  753    0    0,1.0
24.0,26.0,Undirected,38,255  258    0    0,1.0
24.0,30.0,Undirected,39,527  539    0    0,1.0
25.0,27.0,Undirected,40,1703  1720     0     0,1.0
27.0,29.0,Undirected,41,553  558    0    0,1.0
31.0,32.0,Undirected,42,1375  1401     0     0,1.0
31.0,33.0,Undirected,43,1195  1217     0     0,1.0
32.0,34.0,Undirected,44,1461  1482     0     0,1.0
32.0,37.0,Undirected,45,1851  1882     0     0,1.0
33.0,37.0,Undirected,46,876  896    0    0,1.0
34.0,35.0,Undirected,47,449  452    0    0,1.0
34.0,36.0,Undirected,48,533  537    0    0,1.0
37.0,38.0,Undirected,49,1133  1156     0     0,1.0
37.0,39.0,Undirected,50,669  679    0    0,1.0
38.0,40.0,Undirected,51,256  261    0    0,1.0
38.0,41.0,Undirected,52,319  327    0    0,1.0
