Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,40  70   0   2,1.0
2.0,7.0,Undirected,1,37  68   0   0,1.0
3.0,6.0,Undirected,2,60  66   0   0,1.0
4.0,6.0,Undirected,3,42  51   0   0,1.0
6.0,8.0,Undirected,4,138  188    1    0,1.0
7.0,14.0,Undirected,5,118  183    0    2,1.0
8.0,13.0,Undirected,6,117  132    0    0,1.0
8.0,15.0,Undirected,7,64  103    0    0,1.0
9.0,11.0,Undirected,8,12  17   0   0,1.0
10.0,11.0,Undirected,9,32  73   1   1,1.0
11.0,13.0,Undirected,10,46  50   0   0,1.0
11.0,42.0,Undirected,11,44  90   0   2,1.0
12.0,17.0,Undirected,12,131  169    0    1,1.0
12.0,25.0,Undirected,13,110  154    1    0,1.0
12.0,28.0,Undirected,14,126  135    0    0,1.0
12.0,30.0,Undirected,15,58  90   0   0,1.0
12.0,42.0,Undirected,16,78  132    1    0,1.0
13.0,16.0,Undirected,17,14  20   0   0,1.0
13.0,42.0,Undirected,18,14  16   0   0,1.0
14.0,15.0,Undirected,19,22  50   1   0,1.0
14.0,16.0,Undirected,20,32  40   0   0,1.0
14.0,17.0,Undirected,21,132  177    1    1,1.0
14.0,31.0,Undirected,22,219  278    1    0,1.0
15.0,17.0,Undirected,23,114  151    0    0,1.0
16.0,17.0,Undirected,24,46  67   0   1,1.0
17.0,18.0,Undirected,25,93  167    0    0,1.0
17.0,30.0,Undirected,26,118  151    0    0,1.0
18.0,19.0,Undirected,27,84  141    0    0,1.0
18.0,31.0,Undirected,28,26  75   1   0,1.0
19.0,20.0,Undirected,29,51  121    0    1,1.0
19.0,21.0,Undirected,30,9  32   0   0,1.0
19.0,32.0,Undirected,31,73  159    0    0,1.0
20.0,21.0,Undirected,32,43  53   0   0,1.0
20.0,30.0,Undirected,33,113  194    0    0,1.0
21.0,22.0,Undirected,34,25  52   0   0,1.0
22.0,23.0,Undirected,35,10  32   0   0,1.0
24.0,25.0,Undirected,36,51  64   0   0,1.0
24.0,26.0,Undirected,37,53  67   0   0,1.0
24.0,30.0,Undirected,38,110  174    0    0,1.0
25.0,27.0,Undirected,39,139  176    0    0,1.0
27.0,29.0,Undirected,40,30  36   0   0,1.0
31.0,32.0,Undirected,41,105  136    0    0,1.0
31.0,33.0,Undirected,42,84  109    0    0,1.0
32.0,34.0,Undirected,43,77  145    0    0,1.0
32.0,37.0,Undirected,44,42  66   0   0,1.0
33.0,37.0,Undirected,45,24  34   0   1,1.0
34.0,35.0,Undirected,46,25  53   1   0,1.0
34.0,36.0,Undirected,47,41  117    2    0,1.0
37.0,38.0,Undirected,48,14  28   0   0,1.0
37.0,39.0,Undirected,49,19  20   0   0,1.0
38.0,40.0,Undirected,50,4  14   0   0,1.0
38.0,41.0,Undirected,51,11  14   0   0,1.0
