Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,392  466    0    0,1.0
2.0,7.0,Undirected,1,401  506    0    0,1.0
3.0,6.0,Undirected,2,446  546    0    0,1.0
4.0,6.0,Undirected,3,326  408    0    0,1.0
5.0,8.0,Undirected,4,373  454    0    0,1.0
6.0,8.0,Undirected,5,276  321    0    0,1.0
7.0,14.0,Undirected,6,319  380    0    0,1.0
8.0,13.0,Undirected,7,134  220    0   14,1.0
8.0,15.0,Undirected,8,399  465    0    0,1.0
9.0,11.0,Undirected,9,407  505    0    0,1.0
10.0,11.0,Undirected,10,515  682    0    0,1.0
11.0,13.0,Undirected,11,275  435    1   89,1.0
11.0,42.0,Undirected,12,214  303    0    0,1.0
12.0,17.0,Undirected,13,253  297    0    0,1.0
12.0,25.0,Undirected,14,479  553    0    0,1.0
12.0,28.0,Undirected,15,263  310    0    0,1.0
12.0,30.0,Undirected,16,385  447    0    0,1.0
12.0,42.0,Undirected,17,141  160    0    0,1.0
13.0,16.0,Undirected,18,300  354    0    0,1.0
13.0,42.0,Undirected,19,201  324    0    0,1.0
14.0,15.0,Undirected,20,329  386    0    0,1.0
14.0,16.0,Undirected,21,199  237    0    0,1.0
14.0,17.0,Undirected,22,234  305    0    0,1.0
14.0,31.0,Undirected,23,328  366    0    0,1.0
15.0,17.0,Undirected,24,233  285    0    0,1.0
16.0,17.0,Undirected,25,236  279    0    0,1.0
17.0,18.0,Undirected,26,255  312    0    0,1.0
17.0,30.0,Undirected,27,207  259    0    0,1.0
18.0,19.0,Undirected,28,250  310    0    0,1.0
18.0,31.0,Undirected,29,225  290    0    0,1.0
19.0,20.0,Undirected,30,331  432    0    0,1.0
19.0,21.0,Undirected,31,438  531    0    0,1.0
19.0,32.0,Undirected,32,337  405    0    0,1.0
20.0,21.0,Undirected,33,272  364    0    0,1.0
20.0,30.0,Undirected,34,489  567    0    0,1.0
21.0,22.0,Undirected,35,253  303    0    0,1.0
22.0,23.0,Undirected,36,407  453    0    0,1.0
24.0,25.0,Undirected,37,255  326    0    0,1.0
24.0,26.0,Undirected,38,491  553    0    0,1.0
24.0,30.0,Undirected,39,274  331    0    0,1.0
25.0,27.0,Undirected,40,295  355    0    0,1.0
27.0,29.0,Undirected,41,354  400    0    0,1.0
31.0,32.0,Undirected,42,185  224    0    0,1.0
31.0,33.0,Undirected,43,185  232    0    0,1.0
32.0,34.0,Undirected,44,403  448    0    0,1.0
32.0,37.0,Undirected,45,327  385    0    0,1.0
33.0,37.0,Undirected,46,256  312    0    0,1.0
34.0,35.0,Undirected,47,325  381    0    0,1.0
34.0,36.0,Undirected,48,204  236    0    0,1.0
37.0,38.0,Undirected,49,366  440    0    0,1.0
37.0,39.0,Undirected,50,274  326    0    0,1.0
38.0,40.0,Undirected,51,385  464    0    0,1.0
38.0,41.0,Undirected,52,294  368    0    0,1.0
