Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,416  487    0    0,1.0
2.0,7.0,Undirected,1,253  284    0    0,1.0
3.0,6.0,Undirected,2,413  481    0    0,1.0
4.0,6.0,Undirected,3,145  183    0    0,1.0
5.0,8.0,Undirected,4,384  470    0    0,1.0
6.0,8.0,Undirected,5,369  453    0    0,1.0
7.0,14.0,Undirected,6,302  349    0    0,1.0
8.0,13.0,Undirected,7,297  358    0    0,1.0
8.0,15.0,Undirected,8,375  432    0    0,1.0
9.0,11.0,Undirected,9,574  689    0    0,1.0
10.0,11.0,Undirected,10,553  684    0    0,1.0
11.0,13.0,Undirected,11,203  305    0    0,1.0
11.0,42.0,Undirected,12,319  420    0    0,1.0
12.0,17.0,Undirected,13,217  257    0    0,1.0
12.0,25.0,Undirected,14,392  474    0    0,1.0
12.0,28.0,Undirected,15,386  455    0    0,1.0
12.0,30.0,Undirected,16,189  222    0    0,1.0
12.0,42.0,Undirected,17,224  277    0    0,1.0
13.0,16.0,Undirected,18,266  398    3  115,1.0
13.0,42.0,Undirected,19,323  383    0    0,1.0
14.0,15.0,Undirected,20,438  508    0    0,1.0
14.0,16.0,Undirected,21,288  333    0    0,1.0
14.0,17.0,Undirected,22,193  219    0    0,1.0
14.0,31.0,Undirected,23,271  314    0    0,1.0
15.0,17.0,Undirected,24,347  405    0    0,1.0
16.0,17.0,Undirected,25,202  286    0    0,1.0
17.0,18.0,Undirected,26,296  353    0    0,1.0
17.0,30.0,Undirected,27,161  197    0    0,1.0
18.0,19.0,Undirected,28,275  327    0    0,1.0
18.0,31.0,Undirected,29,233  286    0    0,1.0
19.0,20.0,Undirected,30,187  226    0    0,1.0
19.0,21.0,Undirected,31,258  323    0    0,1.0
19.0,32.0,Undirected,32,207  246    0    0,1.0
20.0,21.0,Undirected,33,226  273    0    0,1.0
20.0,30.0,Undirected,34,144  178    0    0,1.0
21.0,22.0,Undirected,35,233  299    0    0,1.0
22.0,23.0,Undirected,36,140  185    0    0,1.0
24.0,25.0,Undirected,37,488  570    0    0,1.0
24.0,26.0,Undirected,38,432  531    0    0,1.0
24.0,30.0,Undirected,39,332  403    0    0,1.0
25.0,27.0,Undirected,40,566  664    0    0,1.0
27.0,29.0,Undirected,41,521  612    0    0,1.0
31.0,32.0,Undirected,42,179  211    0    0,1.0
31.0,33.0,Undirected,43,243  281    0    0,1.0
32.0,34.0,Undirected,44,230  278    0    0,1.0
32.0,37.0,Undirected,45,247  293    0    0,1.0
33.0,37.0,Undirected,46,270  310    0    0,1.0
34.0,35.0,Undirected,47,465  535    0    0,1.0
34.0,36.0,Undirected,48,523  572    0    0,1.0
37.0,38.0,Undirected,49,365  414    0    0,1.0
37.0,39.0,Undirected,50,479  547    0    0,1.0
38.0,40.0,Undirected,51,264  313    0    0,1.0
38.0,41.0,Undirected,52,392  457    0    0,1.0
