Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,1,17,489,7
2.0,7.0,Undirected,2,4,488,7
3.0,6.0,Undirected,3,2,364,6
4.0,6.0,Undirected,4,3,376,6
5.0,8.0,Undirected,5,9,399,8
6.0,8.0,Undirected,6,2  3,1481,8
7.0,14.0,Undirected,7,4  17,1750,14
8.0,13.0,Undirected,8,2  9,841,13
8.0,15.0,Undirected,9,3  8,1964,15
9.0,11.0,Undirected,10,5  13,447,11
10.0,11.0,Undirected,11,7,478,11
11.0,13.0,Undirected,12,6   7  13,906,13
11.0,42.0,Undirected,13,5,674,42
12.0,17.0,Undirected,14,4  15,1448,17
12.0,25.0,Undirected,15,11  15,1367,25
12.0,28.0,Undirected,16,2  4,557,28
12.0,30.0,Undirected,17,5  8  9,796,30
12.0,42.0,Undirected,18,2   5   8   9  11,1237,42
13.0,16.0,Undirected,19,6   7  11  13,1180,16
13.0,42.0,Undirected,20,2   8   9  11,534,42
14.0,15.0,Undirected,21,14  17,1286,15
14.0,16.0,Undirected,22,11  13,1150,16
14.0,17.0,Undirected,23,4,1058,17
14.0,31.0,Undirected,24,11  14,2703,31
15.0,17.0,Undirected,25,3  10,1183,17
16.0,17.0,Undirected,26,6  7,477,17
17.0,18.0,Undirected,27,6   7  10  15,1166,18
17.0,30.0,Undirected,28,3,1303,30
18.0,19.0,Undirected,29,6  10,720,19
18.0,31.0,Undirected,30,7  15,907,31
19.0,20.0,Undirected,31,9,912,20
19.0,21.0,Undirected,32,6,766,21
19.0,32.0,Undirected,33,9  10,1557,32
20.0,21.0,Undirected,34,5,827,21
20.0,30.0,Undirected,35,5  9,1875,30
21.0,22.0,Undirected,36,5  6,897,22
22.0,23.0,Undirected,37,6,279,23
24.0,25.0,Undirected,38,15,523,25
24.0,26.0,Undirected,39,3   8  15,444,26
24.0,30.0,Undirected,40,3  8,1119,30
25.0,27.0,Undirected,41,11,894,27
27.0,29.0,Undirected,42,11,322,29
31.0,32.0,Undirected,43,7  14,1683,32
31.0,33.0,Undirected,44,11  15,1292,33
32.0,34.0,Undirected,45,7  9,1469,34
32.0,37.0,Undirected,46,10  14,1482,37
33.0,37.0,Undirected,47,11,1038,37
34.0,35.0,Undirected,48,7,322,35
34.0,36.0,Undirected,49,9,362,36
37.0,38.0,Undirected,50,10  14,1208,38
37.0,39.0,Undirected,51,11,453,39
38.0,40.0,Undirected,52,14,278,40
38.0,41.0,Undirected,53,10,269,41
