Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,424  480    0    0,1.0
2.0,7.0,Undirected,1,437  515    0    0,1.0
3.0,6.0,Undirected,2,173  628   10  505,1.0
4.0,6.0,Undirected,3,332  741    0    0,1.0
5.0,8.0,Undirected,4,225  351    0    0,1.0
6.0,8.0,Undirected,5,249  498    0    0,1.0
7.0,14.0,Undirected,6,322  379    0    0,1.0
8.0,13.0,Undirected,7,265  356    0    0,1.0
8.0,15.0,Undirected,8,319  403    0    0,1.0
9.0,11.0,Undirected,9,236  271    0    0,1.0
10.0,11.0,Undirected,10,304  360    0    0,1.0
11.0,13.0,Undirected,11,323  373    0    0,1.0
11.0,42.0,Undirected,12,209  240    0    0,1.0
12.0,17.0,Undirected,13,245  299    0    0,1.0
12.0,25.0,Undirected,14,241  271    0    0,1.0
12.0,28.0,Undirected,15,284  308    0    0,1.0
12.0,30.0,Undirected,16,333  379    0    0,1.0
12.0,42.0,Undirected,17,369  415    0    0,1.0
13.0,16.0,Undirected,18,248  310    0    0,1.0
13.0,42.0,Undirected,19,405  485    0    0,1.0
14.0,15.0,Undirected,20,230  289    0    0,1.0
14.0,16.0,Undirected,21,239  278    0    0,1.0
14.0,17.0,Undirected,22,289  320    0    0,1.0
14.0,31.0,Undirected,23,250  299    0    0,1.0
15.0,17.0,Undirected,24,197  240    0    0,1.0
16.0,17.0,Undirected,25,247  289    0    0,1.0
17.0,18.0,Undirected,26,173  232    0    0,1.0
17.0,30.0,Undirected,27,254  284    0    0,1.0
18.0,19.0,Undirected,28,197  275    0    0,1.0
18.0,31.0,Undirected,29,178  209    0    0,1.0
19.0,20.0,Undirected,30,100  207    0    0,1.0
19.0,21.0,Undirected,31,230  385    5  127,1.0
19.0,32.0,Undirected,32,140  182    0    0,1.0
20.0,21.0,Undirected,33,323  440    0    0,1.0
20.0,30.0,Undirected,34,257  290    0    0,1.0
21.0,22.0,Undirected,35,257  395    0    0,1.0
22.0,23.0,Undirected,36,420  580    0    0,1.0
24.0,25.0,Undirected,37,503  577    0    0,1.0
24.0,26.0,Undirected,38,318  361    0    0,1.0
24.0,30.0,Undirected,39,276  319    0    0,1.0
25.0,27.0,Undirected,40,364  436    0    0,1.0
27.0,29.0,Undirected,41,269  323    0    0,1.0
31.0,32.0,Undirected,42,251  308    0    0,1.0
31.0,33.0,Undirected,43,380  448    0    0,1.0
32.0,34.0,Undirected,44,231  316    0    0,1.0
32.0,37.0,Undirected,45,181  269    0    0,1.0
33.0,37.0,Undirected,46,255  314    0    0,1.0
34.0,35.0,Undirected,47,424  512    0    0,1.0
34.0,36.0,Undirected,48,321  379    0    0,1.0
37.0,38.0,Undirected,49,371  510    0    0,1.0
37.0,39.0,Undirected,50,328  423    0    0,1.0
38.0,40.0,Undirected,51,362  616    8  256,1.0
38.0,41.0,Undirected,52,498  651    0    0,1.0
