Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,5503  6516     0     0,1.0
2.0,7.0,Undirected,1,3706  5114     0  1421,1.0
3.0,6.0,Undirected,2,4969  5271     0     0,1.0
4.0,6.0,Undirected,3,6809  7179     0     0,1.0
5.0,8.0,Undirected,4,5823  6270     0     0,1.0
6.0,8.0,Undirected,5,5212  5612     0     0,1.0
7.0,14.0,Undirected,6,4156  4883     0     0,1.0
8.0,13.0,Undirected,7,3753  4227     0     0,1.0
8.0,15.0,Undirected,8,3896  4522     0     0,1.0
9.0,11.0,Undirected,9,4891  5193     0     0,1.0
10.0,11.0,Undirected,10,4748  4994     0     0,1.0
11.0,13.0,Undirected,11,4327  4668     0     0,1.0
11.0,42.0,Undirected,12,4020  4271     0     0,1.0
12.0,17.0,Undirected,13,2916  3225     0     0,1.0
12.0,25.0,Undirected,14,3782  3977     0     0,1.0
12.0,28.0,Undirected,15,4350  4658     0     0,1.0
12.0,30.0,Undirected,16,3478  3812     0     0,1.0
12.0,42.0,Undirected,17,4121  4478     0     0,1.0
13.0,16.0,Undirected,18,3470  3871     0     0,1.0
13.0,42.0,Undirected,19,3605  3964     0     0,1.0
14.0,15.0,Undirected,20,2769  3271     0     0,1.0
14.0,16.0,Undirected,21,2994  3400     0     0,1.0
14.0,17.0,Undirected,22,2918  3393     0     0,1.0
14.0,31.0,Undirected,23,3557  4201     0     0,1.0
15.0,17.0,Undirected,24,2603  3630     8   907,1.0
16.0,17.0,Undirected,25,2988  3554     0     0,1.0
17.0,18.0,Undirected,26,3309  4186     0     0,1.0
17.0,30.0,Undirected,27,3623  4166     0     0,1.0
18.0,19.0,Undirected,28,3340  4223     0     0,1.0
18.0,31.0,Undirected,29,3138  4112     9   839,1.0
19.0,20.0,Undirected,30,2203  3082     0     0,1.0
19.0,21.0,Undirected,31,2777  3720     0     0,1.0
19.0,32.0,Undirected,32,3024  3824     0     0,1.0
20.0,21.0,Undirected,33,1949  3565    11  1619,1.0
20.0,30.0,Undirected,34,2736  3765     0     0,1.0
21.0,22.0,Undirected,35,3420  4558     0     0,1.0
22.0,23.0,Undirected,36,4289  5278     0     0,1.0
24.0,25.0,Undirected,37,3701  4040     0     0,1.0
24.0,26.0,Undirected,38,5862  6308     0     0,1.0
24.0,30.0,Undirected,39,4573  5143     0     0,1.0
25.0,27.0,Undirected,40,4893  5188     0     0,1.0
27.0,29.0,Undirected,41,5529  5807     0     0,1.0
31.0,32.0,Undirected,42,3018  3620     0     0,1.0
31.0,33.0,Undirected,43,4099  4510     0     0,1.0
32.0,34.0,Undirected,44,3907  5851    11  1866,1.0
32.0,37.0,Undirected,45,4187  5059     0     0,1.0
33.0,37.0,Undirected,46,5023  5518     0     0,1.0
34.0,35.0,Undirected,47,4525  5752     0     0,1.0
34.0,36.0,Undirected,48,4979  6355     0     0,1.0
37.0,38.0,Undirected,49,5280  5803     0     0,1.0
37.0,39.0,Undirected,50,5958  6643     0     0,1.0
38.0,40.0,Undirected,51,4880  5239     0     0,1.0
38.0,41.0,Undirected,52,6177  6540     0     0,1.0
