Source,Target,Type,Id,Label,Weight
1.0,7.0,Undirected,0,5590  6020     0     0,1.0
2.0,7.0,Undirected,1,5043  5457     0     0,1.0
3.0,6.0,Undirected,2,4829  5150     0     0,1.0
4.0,6.0,Undirected,3,4481  4799     0     0,1.0
5.0,8.0,Undirected,4,3395  3715     0     0,1.0
6.0,8.0,Undirected,5,4425  4780     0     0,1.0
7.0,14.0,Undirected,6,3717  4120     0     0,1.0
8.0,13.0,Undirected,7,3420  3756     0     0,1.0
8.0,15.0,Undirected,8,3742  4335     0     0,1.0
9.0,11.0,Undirected,9,4631  4929     0     0,1.0
10.0,11.0,Undirected,10,5085  5402     0     0,1.0
11.0,13.0,Undirected,11,4112  4375     0     0,1.0
11.0,42.0,Undirected,12,3416  3701     0     0,1.0
12.0,17.0,Undirected,13,4166  4764     0     0,1.0
12.0,25.0,Undirected,14,4293  4609     0     0,1.0
12.0,28.0,Undirected,15,3767  4098     0     0,1.0
12.0,30.0,Undirected,16,3018  3297     0     0,1.0
12.0,42.0,Undirected,17,3786  4183     0     0,1.0
13.0,16.0,Undirected,18,3671  4024     0     0,1.0
13.0,42.0,Undirected,19,3933  4177     0     0,1.0
14.0,15.0,Undirected,20,2863  3606     0     0,1.0
14.0,16.0,Undirected,21,3140  3489     0     0,1.0
14.0,17.0,Undirected,22,3254  3540     0     0,1.0
14.0,31.0,Undirected,23,3753  4041     0     0,1.0
15.0,17.0,Undirected,24,2570  3724    11  1150,1.0
16.0,17.0,Undirected,25,3113  3500     0     0,1.0
17.0,18.0,Undirected,26,4055  4483     0     0,1.0
17.0,30.0,Undirected,27,3648  4016     0     0,1.0
18.0,19.0,Undirected,28,3938  4320     0     0,1.0
18.0,31.0,Undirected,29,4096  4471     0     0,1.0
19.0,20.0,Undirected,30,3998  4325     0     0,1.0
19.0,21.0,Undirected,31,4224  4568     0     0,1.0
19.0,32.0,Undirected,32,2980  3334     0     0,1.0
20.0,21.0,Undirected,33,4827  5202     0     0,1.0
20.0,30.0,Undirected,34,3526  3855     0     0,1.0
21.0,22.0,Undirected,35,5717  6031     0     0,1.0
22.0,23.0,Undirected,36,5685  5997     0     0,1.0
24.0,25.0,Undirected,37,4560  4818     0     0,1.0
24.0,26.0,Undirected,38,4633  4909     0     0,1.0
24.0,30.0,Undirected,39,3734  3984     0     0,1.0
25.0,27.0,Undirected,40,4878  5236     0     0,1.0
27.0,29.0,Undirected,41,6267  6628     0     0,1.0
31.0,32.0,Undirected,42,4213  4551     0     0,1.0
31.0,33.0,Undirected,43,3602  4022     0     0,1.0
32.0,34.0,Undirected,44,4700  5101     0     0,1.0
32.0,37.0,Undirected,45,3973  4670     0     0,1.0
33.0,37.0,Undirected,46,3821  4398     0     0,1.0
34.0,35.0,Undirected,47,6219  6640     0     0,1.0
34.0,36.0,Undirected,48,6071  6484     0     0,1.0
37.0,38.0,Undirected,49,4163  5726     0     0,1.0
37.0,39.0,Undirected,50,5080  5771     0     0,1.0
38.0,40.0,Undirected,51,3258  6813    25  3956,1.0
38.0,41.0,Undirected,52,5105  8018     0     0,1.0
